DATASET	N_SENTS	MAX_SENT_TOKS	SUBTOKS_PER_TOK	UNKS_PER_SUBTOK	LABEL_DISTRIBUTION
test.lsdc.dbmdz-uncased.orig.60.upos	83	60	1.3023164507263447	0.0	[('PUNCT', 0.1446280991735537), ('NOUN', 0.12764003673094582), ('PRON', 0.11891643709825528), ('VERB', 0.11753902662993572), ('DET', 0.10101010101010101), ('ADV', 0.09044995408631772), ('ADP', 0.07162534435261708), ('ADJ', 0.06060606060606061), ('AUX', 0.04315886134067952), ('CCONJ', 0.04315886134067952), ('SCONJ', 0.025711662075298437), ('PROPN', 0.02066115702479339), ('PART', 0.017447199265381085), ('X', 0.008264462809917356), ('NUM', 0.006887052341597796), ('INTJ', 0.002295684113865932)]
test.uzh.gbert-large.orig.60.upos	100	60	1.7763157894736843	0.0015594541910331384	[('NOUN', 0.12880886426592797), ('PUNCT', 0.12326869806094183), ('AUX', 0.10526315789473684), ('ADV', 0.0997229916897507), ('ADP', 0.09556786703601108), ('DET', 0.09349030470914127), ('VERB', 0.0886426592797784), ('PRON', 0.0817174515235457), ('ADJ', 0.05886426592797784), ('PROPN', 0.039473684210526314), ('CCONJ', 0.03254847645429363), ('PART', 0.023545706371191136), ('SCONJ', 0.018005540166204988), ('NUM', 0.009002770083102494), ('X', 0.002077562326869806)]
train.hdt_12k_l.dbmdz-cased.orig.60.upos	12000	60	1.3331798915272777	1.0255954436213092e-05	[('NOUN', 0.21031494980057763), ('DET', 0.1357447393756017), ('ADP', 0.1125934076009719), ('PUNCT', 0.10918718195571449), ('VERB', 0.07703204511071379), ('ADJ', 0.07670196671709531), ('ADV', 0.058896071150231516), ('PROPN', 0.05603080731673773), ('AUX', 0.046678586164214), ('PRON', 0.0368083253105946), ('CCONJ', 0.025947829276119744), ('NUM', 0.020368587539540642), ('X', 0.013982487507449686), ('PART', 0.010645028194196122), ('SCONJ', 0.00905423371384037), ('INTJ', 1.3753266400770183e-05)]
test.lsdc.finnish-bert-cased.orig.60.upos	83	60	1.4448370632116214	0.003532608695652174	[('PUNCT', 0.14615384615384616), ('NOUN', 0.1276923076923077), ('PRON', 0.11948717948717949), ('VERB', 0.11743589743589744), ('DET', 0.10102564102564103), ('ADV', 0.09282051282051282), ('ADP', 0.07128205128205128), ('ADJ', 0.06102564102564102), ('AUX', 0.04205128205128205), ('CCONJ', 0.041025641025641026), ('SCONJ', 0.024615384615384615), ('PROPN', 0.021538461538461538), ('PART', 0.016923076923076923), ('X', 0.008205128205128205), ('NUM', 0.006153846153846154), ('INTJ', 0.002564102564102564)]
test.lsdc.bert-base-cased.orig.60.upos	83	60	1.4852767962308597	0.0	[('PUNCT', 0.14384656366542356), ('NOUN', 0.1289291422482685), ('PRON', 0.11933937133724028), ('VERB', 0.11667554608417688), ('DET', 0.10122535961640916), ('ADV', 0.09057005860415557), ('ADP', 0.0713905167820991), ('ADJ', 0.060735215769845495), ('AUX', 0.042621204049014386), ('CCONJ', 0.04208843899840171), ('SCONJ', 0.02557272242940863), ('PROPN', 0.022376132125732553), ('PART', 0.017048481619605753), ('X', 0.008524240809802876), ('NUM', 0.006393180607352157), ('INTJ', 0.002663825253063399)]
train.hdt_24k_f.dbmdz-cased.orig.60.upos	24000	60	1.3581539249652868	0.0002084439657953378	[('NOUN', 0.2116899561344006), ('DET', 0.13458146791480124), ('ADP', 0.11466784244562023), ('PUNCT', 0.10617962284628951), ('ADJ', 0.07836340614118392), ('VERB', 0.07473431917876362), ('ADV', 0.05977931533487089), ('PROPN', 0.05955320399764844), ('AUX', 0.04379324379324379), ('PRON', 0.03507665174331841), ('CCONJ', 0.026742187853298963), ('NUM', 0.023135712024600914), ('X', 0.012687107131551576), ('PART', 0.010211187988965767), ('SCONJ', 0.00879573101795324), ('INTJ', 9.044453488897933e-06)]
dev.alpino.bertje.orig.60.upos	718	60	1.2135249805177937	0.0	[('NOUN', 0.1578490139866215), ('ADP', 0.13248197376422552), ('PUNCT', 0.1189297193988359), ('DET', 0.11389106072452437), ('VERB', 0.10007818608287725), ('PROPN', 0.09686386934236817), ('ADJ', 0.06645817044566067), ('PRON', 0.05551211884284597), ('ADV', 0.054556511163235163), ('AUX', 0.03561810442185735), ('NUM', 0.024672052819042656), ('CCONJ', 0.021457736078533577), ('SCONJ', 0.014073494917904612), ('SYM', 0.0060811397793414995), ('INTJ', 0.0007818608287724785), ('X', 0.0006949874033533142)]
train.alpino.finnish-bert-cased.orig.60.upos	12289	60	1.963039565929786	0.0005856435237130894	[('NOUN', 0.16637139165161055), ('ADP', 0.12555912224385624), ('DET', 0.12374654294351184), ('VERB', 0.10446303799984798), ('PUNCT', 0.10225870768942916), ('PROPN', 0.07165535266361452), ('PRON', 0.06757412572283908), ('ADJ', 0.066568436562648), ('ADV', 0.06315377104199922), ('AUX', 0.04800996333912189), ('CCONJ', 0.020540616393902717), ('NUM', 0.01706748057324282), ('SCONJ', 0.0167341998631795), ('SYM', 0.004765329450905412), ('X', 0.0010232302501944138), ('INTJ', 0.0005086916100966514)]
train.hdt.dbmdz-uncased.orig.60.upos	153035	60	1.3532528137034134	6.890456005626413e-05	[('NOUN', 0.21148986856576063), ('DET', 0.13417685828075987), ('PUNCT', 0.11353205152642243), ('ADP', 0.11194028240415399), ('ADJ', 0.07767265084583863), ('VERB', 0.0759697527902713), ('ADV', 0.05642832327658445), ('PROPN', 0.05629130022290522), ('AUX', 0.044451932960122335), ('PRON', 0.03656465582038687), ('CCONJ', 0.027712463055923387), ('NUM', 0.020580431093947464), ('X', 0.014382385668467506), ('PART', 0.01020911660050479), ('SCONJ', 0.00857526953261832), ('INTJ', 2.26573553327862e-05)]
train.hdt.gbert-large.orig.60.upos	153035	60	1.3335266118841658	7.260290524142073e-05	[('NOUN', 0.21148645976755306), ('DET', 0.13417070794583189), ('PUNCT', 0.11356180191321166), ('ADP', 0.11194517041675804), ('ADJ', 0.0776799163104709), ('VERB', 0.07599570048639147), ('ADV', 0.05641817443227368), ('PROPN', 0.05626251478407167), ('AUX', 0.04446293826459264), ('PRON', 0.036560964298938424), ('CCONJ', 0.027714607202044786), ('NUM', 0.02057295692218096), ('X', 0.014355558271710566), ('PART', 0.010215658713525134), ('SCONJ', 0.008574222330868422), ('INTJ', 2.2647939576735173e-05)]
