DATASET	TOKENIZER	NOISE_TYPE	NOISE_LVL	N_SENTS	MIN_TOKS_PER_SENT	MAX_TPS	MEAN_TPS	STD_TPS	MEAN+STD	MEAN+1.5STD	MEAN+2STD	SAMPLE_SENTENCE
../datasets/train_GSD_UPOS.tsv	camembert-base	-	-	14450	2.0	583.0	32.140484429065744	18.62686755525571	50.76735198432145	60.08078576194931	69.39421953957716	▁Les ▁com motion s ▁cérébrale s ▁sont ▁devenu ▁si ▁courantes ▁dans ▁ce ▁sport ▁qu ' ▁on ▁les ▁consid ére ▁presque ▁comme ▁la ▁routine ▁ .
../datasets/train_GSD_UPOS.tsv	camembert-base	add_random_noise	0.15	14450	2.0	635.2	36.68986851211072	21.02368439853223	57.713552910642946	68.22539510990907	78.73723730917519	▁Les ▁com motion s ▁cérébrale s ▁s nt ▁devenu ▁si ▁courantes ▁dans ▁ce ▁sort ▁qu ' ▁on ▁le ▁consid ére ▁presque ▁comme ▁la ▁routine ▁ .
../datasets/train_GSD_UPOS.tsv	camembert-base	add_random_noise	0.35	14450	2.0	696.4	42.70997923875432	24.303104406525314	67.01308364527964	79.1646358485423	91.31618805180494	▁Les ▁comm o À ions ▁cérébrale s ▁sont ▁devenu ▁i ▁ou r antes ▁dans ▁ce ▁s por 7 ▁qu ' ▁on ▁les ▁consid ére ▁pre γ s que ▁comme ▁la ▁ Í rou tine ▁ .
../datasets/train_GSD_UPOS.tsv	camembert-base	add_random_noise	0.55	14450	3.0	771.0	48.75170934256056	27.622245995448953	76.37395533800951	90.18507833573399	103.99620133345846	▁Les ▁comm ot ios ▁c ér bra les ▁sont ▁de v ɴ en u ▁si ▁courantes ▁dans ▁ Л ce ▁sp 2 ort ▁qu ' ▁on ▁l L s ▁consid ére ▁pres q e ▁comm ▁a ▁ Ł ou tine ▁ .
../datasets/train_GSD_UPOS.tsv	camembert-base	add_random_noise	0.75	14450	2.8	847.8	54.761010380622835	30.98903479280765	85.7500451734305	101.24456256983432	116.73907996623814	▁Le з s ▁com motion s ▁cérébral ées ▁so 8 t ▁devenu ▁ ę i ▁courante ▁ £ dans ▁e ▁s por ' t ▁qu ' щ ▁ ễ n ▁l $ es ▁con sidér ý e ▁presque ▁co ú me ▁la ▁ru tine ▁ .
../datasets/train_GSD_UPOS.tsv	camembert-base	add_random_noise	0.95	14450	3.6	904.6	60.783764705882355	34.23858329998726	95.02234800586962	112.14163965586326	129.26093130585687	▁L م es ▁cm motion s ▁c ī éré bra les ▁son Д ▁de ve u ▁i ▁courantes ▁d an Џ s ▁e ▁port ▁q ' ' ▁ ê n ▁le ň s ▁cons dé re ▁pres ue ▁cm me ▁ 上 a ▁rou ti 临 ne ▁ .
../datasets/dev_GSD_UPOS.tsv	camembert-base	-	-	1476	3.0	157.0	31.51761517615176	16.93432519831751	48.451940374469274	56.91910297362803	65.38626557278678	▁Avi ator ▁ , ▁un ▁film ▁sur ▁la ▁vie ▁de ▁Hugh es ▁ .
../datasets/dev_GSD_UPOS.tsv	camembert-base	add_random_noise	0.15	1476	3.0	171.2	35.987940379403796	19.15271153607066	55.14065191547446	64.71700768350979	74.29336345154512	▁Avi ator ▁ , ▁un ▁film ▁sur ▁la ▁vie ▁de ▁@ ugh es ▁ .
../datasets/dev_GSD_UPOS.tsv	camembert-base	add_random_noise	0.35	1476	5.0	191.0	42.05745257452574	22.364807318541814	64.42225989306755	75.60466355233847	86.78706721160937	▁Avi ator ▁ , ▁u 玄 n ▁fi 胡 m ▁ ur ▁la ▁vie ▁de ▁Hugh es ▁ .
../datasets/dev_GSD_UPOS.tsv	camembert-base	add_random_noise	0.55	1476	5.4	215.8	47.976964769647694	25.368994773445632	73.34595954309333	86.03045692981614	98.71495431653895	▁Avi ator ▁ , ▁ ɨ n ▁film ▁sur ج ▁la ك ▁vie ▁d ▁Hugh es ▁ .
../datasets/dev_GSD_UPOS.tsv	camembert-base	add_random_noise	0.75	1476	6.6	239.2	53.96680216802167	28.609874874282564	82.57667704230424	96.88161447944552	111.18655191658681	▁Ava tor ▁ , ▁u ъ ▁f 粉 lm ▁s r ▁l U a ▁vi ▁de ▁Hugh es ▁ .
../datasets/dev_GSD_UPOS.tsv	camembert-base	add_random_noise	0.95	1476	7.6	257.2	59.916260162601624	31.677101430253835	91.59336159285546	107.43191230798237	123.2704630231093	▁Avi č ator ▁ , ▁u ▁f ; lm ▁ ur ▁l œ a ▁vie ′ ▁d ń ▁Hu 規 gh es ▁ .
../datasets/train_GSD_UPOS.tsv	bert-base-multilingual-cased	-	-	14450	2.0	570.0	32.280830449826986	18.638213508020577	50.91904395784756	60.238150711857855	69.55725746586813	Les com ##mot ##ions c ##éré ##bral ##es sont devenu si courant ##es dans ce sport qu ' on les con ##sid ##ére presque comme la routine .
../datasets/train_GSD_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.15	14450	2.0	607.6	35.82123183391003	20.550327847603405	56.37155968151344	66.64672360531515	76.92188752911684	Les om ##mot ##ions c ##éré ##bral ##es sont even ##u si courant ##es dans ce sport qu ' on les con ##sid ##ére presque comme la ro ##uti ##Б ##e .
../datasets/train_GSD_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.35	14450	2.0	657.8	40.51768858131488	23.10686538148604	63.62455396280092	75.17798665354394	86.73141934428696	Les com ##mot ##ions c ##éré ##b 箭 ra ##les sot ##t devenu i courant ##es dans c ##S ##e sport qu ' on les con ##sid ##ére pr ##sque com ##m la routine .
../datasets/train_GSD_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.55	14450	2.8	703.8	45.231667820069205	25.752637473408278	70.98430529347749	83.86062403018163	96.73694276688576	Les com ##mot ##io 田 ns [UNK] ; ont devenu J ##si cour ##ates da ##х ##s ce sport qu ' Б ##n les con ##si / dé ##re presque ј ##com ##me la ro ##uti ##ủ ##ne .
../datasets/train_GSD_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.75	14450	2.4	760.2	49.96737716262976	28.377998785354738	78.3453759479845	92.53437534066187	106.72337473333923	Le ##ك ##s com ##mot ##ions # c ##éré ##bral ##e sot devenu ' si cor ##antes dans N ##ce sort qu ' o ls con ##sid ##ére 芦 presque cm ##me ël ##a ц ##out ##ine .
